Date,Time,Latitude,Longitude,Altitude,Speed,Course,Type,Distance,Essential
8/16/2013,6:56:02,21.573822,-158.276505,-2.04,972,335,0,4.02,
8/16/2013,6:59:14,21.573761,-158.276428,34.57,1224,124,0,10.46,
8/16/2013,7:02:27,21.573797,-158.276443,-8.29,1764,133,0,4.29,
8/16/2013,7:05:34,21.57383,-158.276489,3.41,1548,79,0,6.01,
8/16/2013,7:08:41,21.573797,-158.276474,-39.63,144,317,0,3.98,
8/16/2013,7:11:48,21.573812,-158.276505,-30.23,2088,325,0,3.61,
8/16/2013,7:14:55,21.573824,-158.276459,-9.98,936,92,0,4.94,
8/16/2013,7:18:02,21.573769,-158.276428,10.85,576,89,0,6.9,
8/16/2013,7:21:09,21.573771,-158.276459,-4.22,216,81,0,3.21,
8/16/2013,7:24:20,21.57379,-158.276489,-3.71,0,117,0,3.75,
8/16/2013,7:27:30,21.573721,-158.276352,-12.77,0,118,0,16.11,
8/16/2013,7:30:39,21.573708,-158.276367,-43.05,0,116,0,2.12,
8/16/2013,7:33:47,21.573828,-158.276443,24.12,1080,120,0,15.49,
8/16/2013,7:36:56,21.57378,-158.276367,7.53,396,102,0,9.5,
8/16/2013,7:40:07,21.573755,-158.276352,-24.44,0,254,0,3.18,
8/16/2013,7:43:16,21.573784,-158.276398,-2.67,0,141,0,5.75,
8/16/2013,7:46:29,21.573845,-158.276489,37.84,0,282,0,11.6,
8/16/2013,7:49:40,21.573748,-158.276367,-11.36,0,131,0,16.6,
8/16/2013,7:53:04,21.573835,-158.276474,35.23,1188,285,0,14.7,
8/16/2013,7:56:13,21.573767,-158.276413,26.52,0,297,0,9.85,
8/16/2013,7:59:21,21.573824,-158.276443,16.63,0,352,0,7.06,
8/16/2013,8:02:29,21.573872,-158.276505,19.13,0,243,0,8.34,
8/16/2013,8:05:28,21.573853,-158.276459,22.29,0,115,0,5.2,
8/16/2013,8:08:26,21.573875,-158.27655,17.61,0,51,0,9.72,
8/16/2013,8:11:24,21.573818,-158.276413,16.95,0,148,0,15.52,
8/16/2013,8:14:23,21.5739,-158.27655,29.79,0,320,0,16.85,
8/16/2013,8:17:21,21.573877,-158.276459,20.16,0,281,0,9.75,
8/16/2013,8:20:23,21.573805,-158.276489,34.74,1368,299,0,8.59,
8/16/2013,8:23:21,21.573771,-158.276398,27.23,0,311,0,10.14,
8/16/2013,8:26:22,21.573843,-158.276413,29.21,6480,139,0,8.15,
8/16/2013,8:29:23,21.573774,-158.276367,32.95,0,1,0,9.03,
8/16/2013,8:32:24,21.573879,-158.27652,13.36,3924,315,0,19.66,
8/16/2013,8:35:25,21.573938,-158.27652,19.83,4788,291,0,6.56,
8/16/2013,8:38:26,21.573875,-158.276459,25.06,4356,292,0,9.43,
8/16/2013,8:41:27,21.573801,-158.276413,21.11,0,98,0,9.5,
8/16/2013,8:45:20,21.57387,-158.276428,32.9,756,186,0,7.83,
8/16/2013,8:49:47,21.573807,-158.276459,22.05,0,63,0,7.7,
8/16/2013,8:52:48,21.57386,-158.276428,16.45,0,237,0,6.71,
8/16/2013,8:55:53,21.573792,-158.276474,7.38,1116,219,0,8.93,
8/16/2013,8:58:55,21.573881,-158.276535,6.53,180,166,0,11.74,
8/16/2013,9:02:10,21.573891,-158.276459,26.21,504,232,0,7.94,
8/16/2013,9:05:41,21.573853,-158.276459,20.75,144,107,0,4.23,
8/16/2013,9:09:58,21.573828,-158.276474,21.3,72,98,0,3.18,
8/16/2013,9:14:33,21.573849,-158.276459,22.29,144,103,0,2.8,
8/16/2013,9:18:37,21.573902,-158.276459,27.65,0,133,0,5.89,
8/16/2013,9:21:36,21.573826,-158.276489,12.13,0,176,0,9,
8/16/2013,9:24:36,21.57383,-158.276489,20.2,0,96,0,0.44,
8/16/2013,9:27:35,21.573915,-158.276474,32.41,0,254,0,9.58,
8/16/2013,9:30:33,21.57382,-158.276535,16.78,0,159,0,12.3,
8/16/2013,9:33:31,21.573776,-158.276489,12.02,0,157,0,6.82,
8/16/2013,9:36:30,21.573912,-158.276443,25.25,3672,69,0,15.85,
8/16/2013,9:39:31,21.573818,-158.276489,10.65,0,139,0,11.48,
8/16/2013,9:42:33,21.573835,-158.276489,21.19,0,91,0,1.89,
8/16/2013,9:45:35,21.573853,-158.276474,23.07,0,238,0,2.53,
8/16/2013,9:48:37,21.573877,-158.276489,25.09,0,165,0,3.09,
8/16/2013,9:51:38,21.573854,-158.276474,27.46,0,141,0,2.99,
8/16/2013,9:54:39,21.57387,-158.276398,34.16,0,239,0,8.06,
8/16/2013,9:57:40,21.573849,-158.276443,20.44,0,84,0,5.21,
8/16/2013,10:00:45,21.573832,-158.276489,12.11,0,224,0,5.12,
8/16/2013,10:03:46,21.573858,-158.276443,20.54,0,46,0,5.57,
8/16/2013,10:06:48,21.573872,-158.276428,22.55,0,93,0,2.2,
8/16/2013,10:09:50,21.573793,-158.276566,2.53,0,140,0,16.76,
8/16/2013,10:12:52,21.573877,-158.276382,27.42,0,67,0,21.2,
8/16/2013,10:15:54,21.573908,-158.276093,91.96,0,146,0,30.08,
8/16/2013,10:18:59,21.573902,-158.276169,70.36,0,68,0,7.89,
8/16/2013,10:22:10,21.573885,-158.27623,55.87,0,258,0,6.58,
8/16/2013,10:25:19,21.573887,-158.276108,83.22,0,45,0,12.62,
8/16/2013,10:28:25,21.573895,-158.276154,88.29,0,60,0,4.84,
8/16/2013,10:31:34,21.573868,-158.275909,99.99,3204,247,0,25.51,
8/16/2013,10:35:06,21.573862,-158.276474,17.77,0,130,0,58.43,
8/16/2013,10:39:13,21.573868,-158.276505,28.66,0,306,0,3.27,
8/16/2013,10:42:17,21.573843,-158.276596,32.36,0,224,0,9.81,
8/16/2013,10:45:28,21.573841,-158.276459,29.72,1584,253,0,14.17,
8/16/2013,10:49:32,21.573816,-158.276459,31.02,144,171,0,2.78,
8/16/2013,10:53:56,21.573786,-158.27652,36.75,1980,326,0,7.14,
8/16/2013,10:56:56,21.573853,-158.276413,13.01,396,244,0,13.34,
8/16/2013,10:59:53,21.573864,-158.276428,18.11,0,45,0,1.98,
8/16/2013,11:02:54,21.573843,-158.276398,9.39,2232,91,0,3.88,
8/16/2013,11:05:52,21.573837,-158.276505,16.59,504,339,0,11.08,
8/16/2013,11:08:51,21.573849,-158.276459,14.9,936,261,0,4.94,
8/16/2013,11:11:48,21.573864,-158.276413,11.85,0,84,0,5.04,
8/16/2013,11:14:48,21.573839,-158.276413,14.69,72,166,0,2.78,
8/16/2013,11:17:48,21.573854,-158.276413,10.5,936,128,0,1.67,
8/16/2013,11:20:45,21.573868,-158.276489,24.08,0,85,0,8.01,
8/16/2013,11:23:45,21.573856,-158.276428,20.03,144,253,0,6.45,
8/16/2013,11:26:44,21.573858,-158.276428,17.96,324,123,0,0.22,
8/16/2013,11:29:44,21.573847,-158.276459,27.29,216,278,0,3.43,
8/16/2013,11:32:43,21.57387,-158.276474,37.07,1008,110,0,2.99,
8/16/2013,11:35:41,21.573879,-158.276413,15.26,396,134,0,6.39,
8/16/2013,11:38:39,21.573872,-158.276443,19.05,1512,141,0,3.2,
8/16/2013,11:41:37,21.573849,-158.276459,32.42,3384,125,0,3.05,
8/16/2013,11:44:35,21.573885,-158.276459,24.71,864,128,0,4,
8/16/2013,11:47:34,21.573904,-158.276489,31.37,36,19,0,3.75,
8/16/2013,11:50:32,21.573874,-158.276474,28.39,432,177,0,3.68,
8/16/2013,11:53:31,21.573864,-158.276474,22.03,288,32,0,1.11,
8/16/2013,11:56:29,21.57382,-158.276428,15.81,288,112,0,6.82,
8/16/2013,11:59:27,21.573845,-158.276428,27.18,540,202,0,2.78,
8/16/2013,12:02:31,21.573879,-158.276443,16.72,0,162,0,4.09,
8/16/2013,12:05:38,21.573786,-158.276428,33.09,3672,171,0,10.46,
8/16/2013,12:08:44,21.573853,-158.276443,14.19,0,188,0,7.61,
8/16/2013,12:11:52,21.573853,-158.276474,17.27,1008,22,0,3.21,
8/16/2013,12:15:26,21.573881,-158.276443,35.85,396,26,0,4.47,
8/16/2013,12:19:20,21.573883,-158.276428,28.67,0,100,0,1.57,
8/16/2013,12:22:22,21.573883,-158.276489,-7.98,0,105,0,6.31,
8/16/2013,12:25:23,21.57386,-158.276443,21.53,180,103,0,5.4,
8/16/2013,12:28:22,21.573824,-158.276489,-28.8,0,167,0,6.22,
8/16/2013,12:31:21,21.573839,-158.276413,40.74,0,125,0,8.03,
8/16/2013,12:34:20,21.573839,-158.276413,24.63,0,181,0,0,
8/16/2013,12:37:20,21.573853,-158.276398,25.62,0,287,0,2.2,
8/16/2013,12:40:19,21.57391,-158.276428,34.06,0,232,0,7.06,
8/16/2013,12:43:19,21.573877,-158.276367,74.01,0,137,0,7.3,
8/16/2013,12:46:19,21.573864,-158.276321,75.22,0,51,0,4.97,
8/16/2013,12:49:19,21.573872,-158.276337,59.92,0,308,0,1.88,
8/16/2013,12:52:18,21.573858,-158.276428,15.97,0,265,0,9.54,
8/16/2013,12:55:33,21.573765,-158.276428,36.45,3456,358,0,10.34,
8/16/2013,12:58:31,21.573854,-158.276489,-11.86,972,99,0,11.74,
8/16/2013,13:01:33,21.573877,-158.276428,32.8,1944,104,0,6.81,
8/16/2013,13:04:32,21.573874,-158.276505,11.17,360,105,0,7.97,
8/16/2013,13:07:31,21.573841,-158.276443,31.54,648,173,0,7.39,
8/16/2013,13:10:30,21.573858,-158.276428,36.11,936,347,0,2.45,
8/16/2013,13:13:29,21.573832,-158.276413,30.76,2772,48,0,3.28,
8/16/2013,13:16:28,21.57387,-158.276535,8.04,2232,67,0,13.3,
8/16/2013,13:19:26,21.573847,-158.276505,16.15,180,100,0,4.02,
8/16/2013,13:22:25,21.57382,-158.276459,19.86,504,278,0,5.62,
8/16/2013,13:25:23,21.57383,-158.276474,23.64,1188,217,0,1.91,
8/16/2013,13:28:23,21.573853,-158.276443,19.16,216,262,0,4.1,
8/16/2013,13:31:23,21.573868,-158.276428,24.89,180,159,0,2.28,
8/16/2013,13:34:23,21.573835,-158.276474,16.15,288,302,0,6.01,
8/16/2013,13:37:23,21.57391,-158.276413,17.71,1332,200,0,10.46,
8/16/2013,13:40:23,21.57387,-158.276443,22.34,72,60,0,5.42,
8/16/2013,13:43:23,21.573902,-158.276443,18.55,432,203,0,3.56,
8/16/2013,13:46:23,21.573853,-158.276459,24.46,720,62,0,5.69,
8/16/2013,13:49:25,21.573858,-158.276428,19.4,0,343,0,3.25,
8/16/2013,13:52:25,21.573851,-158.276505,6.67,2340,24,0,8,
8/16/2013,13:55:26,21.573933,-158.276428,3.22,0,264,0,12.11,
8/16/2013,13:58:29,21.573856,-158.276459,16.11,0,36,0,9.14,
8/16/2013,14:01:35,21.573647,-158.276642,18.39,2052,220,0,29.97,
8/16/2013,14:05:01,21.573765,-158.276581,21.92,0,213,0,14.56,
8/16/2013,14:08:34,21.573887,-158.276474,6.06,72,191,0,17.51,
8/16/2013,14:12:56,21.573837,-158.276443,14.63,0,152,0,6.42,
8/16/2013,14:15:55,21.573889,-158.276443,13.81,216,132,0,5.78,
8/16/2013,14:18:55,21.573853,-158.276459,25.61,252,138,0,4.33,
8/16/2013,14:21:52,21.573891,-158.276413,28.68,0,283,0,6.36,
8/16/2013,14:24:52,21.573854,-158.276428,19.94,252,101,0,4.4,
8/16/2013,14:27:50,21.573843,-158.276459,14.73,216,126,0,3.43,
8/16/2013,14:30:50,21.573854,-158.276459,18.89,216,116,0,1.22,
8/16/2013,14:33:49,21.573858,-158.276428,21.34,144,127,0,3.24,
8/16/2013,14:36:48,21.573818,-158.276489,22.49,180,145,0,7.72,
8/16/2013,14:39:49,21.573849,-158.276443,20.2,0,185,0,5.87,
